Kabupaten/Kota,Garis Kemiskinan - Maret (Rp),Garis Kemiskinan - September (Rp),Jumlah Penduduk Miskin - Maret (ribu) (Ribu),Jumlah Penduduk Miskin - September (ribu) (Ribu),Persentase Penduduk Miskin - Maret,Persentase Penduduk Miskin - September
Bogor,482174,...,453.76,...,7.27,...
Sukabumi,392705,...,178.71,...,7.01,...
Cianjur,437327,...,240.06,...,10.22,...
Bandung,426069,...,245.49,...,6.4,...
Garut,367681,...,260.48,...,9.77,...
Tasikmalaya,378958,...,186.87,...,10.28,...
Ciamis,442108,...,90.84,...,7.42,...
Kuningan,402767,...,133.88,...,12.12,...
Cirebon,451853,...,249.18,...,11.2,...
Majalengka,520713,...,138.74,...,11.21,...
Sumedang,396573,...,111.39,...,9.36,...
Indramayu,532545,...,214.74,...,12.13,...
Subang,404320,...,152.33,...,9.52,...
Purwakarta,434187,...,81.54,...,8.46,...
Karawang,555889,...,187.23,...,7.87,...
Bekasi,632811,...,204.09,...,4.93,...
Bandung Barat,426355,...,179.43,...,10.52,...
Pangandaran,447242,...,36.7,...,8.98,...
Kota Bogor,661384,...,74.95,...,6.67,...
Kota Sukabumi,644276,...,24.96,...,7.5,...
Kota Bandung,591124,...,102.8,...,3.96,...
Kota Cirebon,520579,...,29.49,...,9.16,...
Kota Bekasi,795965,...,129.4,...,4.1,...
Kota Depok,804984,...,61.95,...,2.38,...
Kota Cimahi,590197,...,28.56,...,4.66,...
Kota Tasikmalaya,537497,...,79.37,...,11.53,...
Kota Banjar,408710,...,11.66,...,6.14,...
Jawa Barat,495229,...,3888.6,...,7.62,...
,,,,,,
Catatan,,,,,,
September 2023 tidak dilakukan penghitungan kemiskinan,,,,,,
