Kabupaten/Kota,Garis Kemiskinan - Maret (Rp),Garis Kemiskinan - September (Rp),Jumlah Penduduk Miskin - Maret (ribu) (Ribu),Jumlah Penduduk Miskin - September (ribu) (Ribu),Persentase Penduduk Miskin - Maret,Persentase Penduduk Miskin - September
Bogor,418483,...,491.24,...,8.13,...
Sukabumi,342094,...,194.35,...,7.7,...
Cianjur,387631,...,260.02,...,11.18,...
Bandung,378819,...,269.18,...,7.15,...
Garut,320050,...,281.36,...,10.65,...
Tasikmalaya,333909,...,200.59,...,11.15,...
Ciamis,389676,...,96.6,...,7.97,...
Kuningan,358069,...,143.35,...,13.1,...
Cirebon,404635,...,271.02,...,12.3,...
Majalengka,466813,...,151.14,...,12.33,...
Sumedang,360054,...,126.28,...,10.71,...
Indramayu,481754,...,228.59,...,13.04,...
Subang,360691,...,158.97,...,10.03,...
Purwakarta,387754,...,84.27,...,8.83,...
Karawang,494201,...,210.78,...,8.95,...
Bekasi,549875,...,202.73,...,5.21,...
Bandung Barat,374470,...,190.77,...,11.3,...
Pangandaran,394101,...,39.07,...,9.65,...
Kota Bogor,571425,...,80.09,...,7.24,...
Kota Sukabumi,567734,...,27.19,...,8.25,...
Kota Bandung,515396,...,112.5,...,4.37,...
Kota Cirebon,467248,...,31.98,...,10.03,...
Kota Bekasi,692885,...,144.12,...,4.74,...
Kota Depok,705084,...,63.86,...,2.58,...
Kota Cimahi,522281,...,32.48,...,5.35,...
Kota Tasikmalaya,480341,...,89.46,...,13.13,...
Kota Banjar,357210,...,13.37,...,7.11,...
Jawa Barat,427402,...,4195.34,...,8.4,...
